\NEOWISESaturationBiasCorrection
\W1NEOWISEReactivation
|w1mpro,|,w1mcorr,|,w1lunc|,w1uunc|
|double,|,double|,double|,double|
|mag,|,mag,|,mag,|,mag,|
w1mpro,w1mcorr,w1lunc,w1uunc
2.971e+00,1.2181e+00,3.5639e-01,3.2011e-01
2.972e+00,1.2181e+00,3.5654e-01,3.2000e-01
2.973e+00,1.2181e+00,3.5669e-01,3.1987e-01
2.974e+00,1.2181e+00,3.5684e-01,3.1975e-01
2.975e+00,1.2180e+00,3.5698e-01,3.1962e-01
2.976e+00,1.2180e+00,3.5713e-01,3.1949e-01
2.977e+00,1.2180e+00,3.5728e-01,3.1936e-01
2.978e+00,1.2180e+00,3.5742e-01,3.1922e-01
2.979e+00,1.2180e+00,3.5756e-01,3.1909e-01
2.980e+00,1.2180e+00,3.5770e-01,3.1895e-01
2.981e+00,1.2179e+00,3.5784e-01,3.1880e-01
2.982e+00,1.2179e+00,3.5798e-01,3.1866e-01
2.983e+00,1.2179e+00,3.5812e-01,3.1851e-01
2.984e+00,1.2179e+00,3.5826e-01,3.1837e-01
2.985e+00,1.2179e+00,3.5839e-01,3.1822e-01
2.986e+00,1.2178e+00,3.5852e-01,3.1806e-01
2.987e+00,1.2178e+00,3.5866e-01,3.1791e-01
2.988e+00,1.2178e+00,3.5879e-01,3.1775e-01
2.989e+00,1.2178e+00,3.5892e-01,3.1759e-01
2.990e+00,1.2177e+00,3.5904e-01,3.1743e-01
2.991e+00,1.2177e+00,3.5917e-01,3.1727e-01
2.992e+00,1.2177e+00,3.5930e-01,3.1711e-01
2.993e+00,1.2177e+00,3.5942e-01,3.1695e-01
2.994e+00,1.2176e+00,3.5954e-01,3.1678e-01
2.995e+00,1.2176e+00,3.5967e-01,3.1661e-01
2.996e+00,1.2176e+00,3.5979e-01,3.1644e-01
2.997e+00,1.2175e+00,3.5991e-01,3.1627e-01
2.998e+00,1.2175e+00,3.6002e-01,3.1610e-01
2.999e+00,1.2175e+00,3.6014e-01,3.1593e-01
3.000e+00,1.2174e+00,3.6025e-01,3.1576e-01
3.001e+00,1.2174e+00,3.6037e-01,3.1559e-01
3.002e+00,1.2174e+00,3.6048e-01,3.1541e-01
3.003e+00,1.2173e+00,3.6059e-01,3.1524e-01
3.004e+00,1.2173e+00,3.6070e-01,3.1506e-01
3.005e+00,1.2172e+00,3.6081e-01,3.1488e-01
3.006e+00,1.2172e+00,3.6092e-01,3.1470e-01
3.007e+00,1.2172e+00,3.6102e-01,3.1453e-01
3.008e+00,1.2171e+00,3.6113e-01,3.1435e-01
3.009e+00,1.2171e+00,3.6123e-01,3.1417e-01
3.010e+00,1.2170e+00,3.6133e-01,3.1399e-01
3.011e+00,1.2170e+00,3.6143e-01,3.1381e-01
3.012e+00,1.2169e+00,3.6153e-01,3.1363e-01
3.013e+00,1.2169e+00,3.6163e-01,3.1345e-01
3.014e+00,1.2168e+00,3.6172e-01,3.1327e-01
3.015e+00,1.2168e+00,3.6182e-01,3.1309e-01
3.016e+00,1.2167e+00,3.6191e-01,3.1291e-01
3.017e+00,1.2166e+00,3.6200e-01,3.1273e-01
3.018e+00,1.2166e+00,3.6209e-01,3.1255e-01
3.019e+00,1.2165e+00,3.6218e-01,3.1237e-01
3.020e+00,1.2165e+00,3.6227e-01,3.1219e-01
3.021e+00,1.2164e+00,3.6235e-01,3.1201e-01
3.022e+00,1.2163e+00,3.6244e-01,3.1183e-01
3.023e+00,1.2163e+00,3.6252e-01,3.1165e-01
3.024e+00,1.2162e+00,3.6261e-01,3.1148e-01
3.025e+00,1.2161e+00,3.6269e-01,3.1130e-01
3.026e+00,1.2161e+00,3.6277e-01,3.1112e-01
3.027e+00,1.2160e+00,3.6284e-01,3.1095e-01
3.028e+00,1.2159e+00,3.6292e-01,3.1077e-01
3.029e+00,1.2158e+00,3.6299e-01,3.1060e-01
3.030e+00,1.2158e+00,3.6307e-01,3.1043e-01
3.031e+00,1.2157e+00,3.6314e-01,3.1026e-01
3.032e+00,1.2156e+00,3.6321e-01,3.1008e-01
3.033e+00,1.2155e+00,3.6328e-01,3.0992e-01
3.034e+00,1.2154e+00,3.6335e-01,3.0975e-01
3.035e+00,1.2153e+00,3.6342e-01,3.0958e-01
3.036e+00,1.2152e+00,3.6348e-01,3.0942e-01
3.037e+00,1.2152e+00,3.6354e-01,3.0925e-01
3.038e+00,1.2151e+00,3.6361e-01,3.0909e-01
3.039e+00,1.2150e+00,3.6367e-01,3.0893e-01
3.040e+00,1.2149e+00,3.6373e-01,3.0877e-01
3.041e+00,1.2148e+00,3.6379e-01,3.0861e-01
3.042e+00,1.2147e+00,3.6384e-01,3.0846e-01
3.043e+00,1.2146e+00,3.6390e-01,3.0830e-01
3.044e+00,1.2145e+00,3.6395e-01,3.0815e-01
3.045e+00,1.2144e+00,3.6400e-01,3.0800e-01
3.046e+00,1.2142e+00,3.6405e-01,3.0785e-01
3.047e+00,1.2141e+00,3.6410e-01,3.0771e-01
3.048e+00,1.2140e+00,3.6415e-01,3.0756e-01
3.049e+00,1.2139e+00,3.6420e-01,3.0742e-01
3.050e+00,1.2138e+00,3.6424e-01,3.0728e-01
3.051e+00,1.2137e+00,3.6429e-01,3.0714e-01
3.052e+00,1.2135e+00,3.6433e-01,3.0701e-01
3.053e+00,1.2134e+00,3.6437e-01,3.0687e-01
3.054e+00,1.2133e+00,3.6441e-01,3.0674e-01
3.055e+00,1.2132e+00,3.6445e-01,3.0661e-01
3.056e+00,1.2130e+00,3.6448e-01,3.0648e-01
3.057e+00,1.2129e+00,3.6452e-01,3.0636e-01
3.058e+00,1.2128e+00,3.6455e-01,3.0623e-01
3.059e+00,1.2126e+00,3.6458e-01,3.0611e-01
3.060e+00,1.2125e+00,3.6461e-01,3.0599e-01
3.061e+00,1.2123e+00,3.6464e-01,3.0587e-01
3.062e+00,1.2122e+00,3.6466e-01,3.0576e-01
3.063e+00,1.2121e+00,3.6469e-01,3.0564e-01
3.064e+00,1.2119e+00,3.6471e-01,3.0553e-01
3.065e+00,1.2118e+00,3.6473e-01,3.0542e-01
3.066e+00,1.2116e+00,3.6475e-01,3.0531e-01
3.067e+00,1.2115e+00,3.6477e-01,3.0520e-01
3.068e+00,1.2113e+00,3.6479e-01,3.0510e-01
3.069e+00,1.2112e+00,3.6480e-01,3.0500e-01
3.070e+00,1.2110e+00,3.6481e-01,3.0489e-01
3.071e+00,1.2108e+00,3.6483e-01,3.0479e-01
3.072e+00,1.2107e+00,3.6483e-01,3.0470e-01
3.073e+00,1.2105e+00,3.6484e-01,3.0460e-01
3.074e+00,1.2103e+00,3.6485e-01,3.0451e-01
3.075e+00,1.2102e+00,3.6485e-01,3.0441e-01
3.076e+00,1.2100e+00,3.6485e-01,3.0432e-01
3.077e+00,1.2098e+00,3.6485e-01,3.0424e-01
3.078e+00,1.2097e+00,3.6485e-01,3.0415e-01
3.079e+00,1.2095e+00,3.6485e-01,3.0406e-01
3.080e+00,1.2093e+00,3.6484e-01,3.0398e-01
3.081e+00,1.2092e+00,3.6484e-01,3.0390e-01
3.082e+00,1.2090e+00,3.6483e-01,3.0382e-01
3.083e+00,1.2088e+00,3.6482e-01,3.0374e-01
3.084e+00,1.2086e+00,3.6481e-01,3.0367e-01
3.085e+00,1.2084e+00,3.6479e-01,3.0359e-01
3.086e+00,1.2083e+00,3.6477e-01,3.0352e-01
3.087e+00,1.2081e+00,3.6476e-01,3.0345e-01
3.088e+00,1.2079e+00,3.6474e-01,3.0338e-01
3.089e+00,1.2077e+00,3.6471e-01,3.0331e-01
3.090e+00,1.2075e+00,3.6469e-01,3.0325e-01
3.091e+00,1.2073e+00,3.6466e-01,3.0318e-01
3.092e+00,1.2071e+00,3.6464e-01,3.0312e-01
3.093e+00,1.2069e+00,3.6461e-01,3.0306e-01
3.094e+00,1.2067e+00,3.6457e-01,3.0300e-01
3.095e+00,1.2065e+00,3.6454e-01,3.0294e-01
3.096e+00,1.2063e+00,3.6450e-01,3.0288e-01
3.097e+00,1.2061e+00,3.6447e-01,3.0283e-01
3.098e+00,1.2059e+00,3.6443e-01,3.0278e-01
3.099e+00,1.2057e+00,3.6438e-01,3.0273e-01
3.100e+00,1.2055e+00,3.6434e-01,3.0268e-01
3.101e+00,1.2053e+00,3.6429e-01,3.0263e-01
3.102e+00,1.2051e+00,3.6424e-01,3.0258e-01
3.103e+00,1.2049e+00,3.6419e-01,3.0254e-01
3.104e+00,1.2047e+00,3.6414e-01,3.0250e-01
3.105e+00,1.2045e+00,3.6409e-01,3.0245e-01
3.106e+00,1.2043e+00,3.6403e-01,3.0241e-01
3.107e+00,1.2041e+00,3.6397e-01,3.0238e-01
3.108e+00,1.2039e+00,3.6391e-01,3.0234e-01
3.109e+00,1.2037e+00,3.6384e-01,3.0230e-01
3.110e+00,1.2035e+00,3.6378e-01,3.0227e-01
3.111e+00,1.2032e+00,3.6371e-01,3.0224e-01
3.112e+00,1.2030e+00,3.6364e-01,3.0221e-01
3.113e+00,1.2028e+00,3.6357e-01,3.0218e-01
3.114e+00,1.2026e+00,3.6349e-01,3.0215e-01
